absolute_magnitude,est_dia_in_m_max,epoch_date_close_approach,relative_velocity_km_per_sec,miss_dist._astronomical,orbit_id,orbit_uncertainity,minimum_orbit_intersection,jupiter_tisserand_invariant,epoch_osculation,eccentricity,inclination,asc_node_longitude,orbital_period,perihelion_distance,perihelion_arg,mean_anomaly,hazardous
22.4,196.8067450894,1395471600000,5.8485945564,0.2162436739,12,8,0.175181,4.1,2456773.5,0.3906793004384628,11.87719300905982,43.50315594995533,805.3727167855841,1.03223422895707,100.3256697346829,34.1422844978296,0
22.9,156.3291544087,1129359600000,6.7115945557,0.0864961014,10,8,0.0249195,5.503,2453637.5,0.2986068076780473,6.174119734199969,176.2842222087279,436.6228155573725,0.7900117408507632,289.7466238570377,287.6948208187896,0
19.1,899.5803881691,1198310400000,12.6067003865,0.1489409162,45,0,0.117222,3.477,2458000.5,0.600065088599369,10.39392567125809,288.1311858904734,1112.3686455861,0.8402777383937727,174.70072987,65.05943127705183,0
22.9,156.3291544087,1234684800000,10.9258235298,0.2613181835,10,8,0.180713,4.31,2455612.5,0.2564159254934407,20.01963643338339,328.2951390035994,719.1618221476768,1.168105883340569,186.1367110396493,357.7938900270069,0
19.4,783.5017643338,928825200000,14.4475735874,0.2932399798,41,0,0.227586,5.332,2458000.5,0.3992184607819257,14.25884494241458,65.16615165474393,455.0582594446171,0.695604360124768,161.418773741838,246.4864202556707,0
19.9,622.3575733667,889344000000,28.2012658991,0.0507948507,19,2,0.0298515,6.097,2458000.5,0.515313587190268,53.62974053734999,346.2809941631512,321.0931879120298,0.444784135754576,311.9479463606393,346.5377589374104,1
22.3,206.0819612321,1431068400000,19.4325910533,0.1743396974,9,6,0.141842,6.096,2458000.5,0.607394797669792,29.68886517977485,239.6392815137085,335.3524697637476,0.3708726193315003,208.7944837721669,269.0893414575752,0
22.3,206.0819612321,1248246000000,5.9533898295,0.4062495466,17,0,0.0358424,5.03,2458000.5,0.2278039474017514,2.240073037425617,93.08338565919551,528.9786888584373,0.9884485678829212,88.72553249439606,319.3529329224962,0
20.8,411.1875710413,989305200000,21.8950171758,0.2478782769,26,3,0.038909,3.978,2458000.5,0.5438881357686699,7.210834683994499,225.373343358336,825.9788514161331,0.7858114808537663,86.98779161608434,58.23481923336704,1
19.4,783.5017643338,1266825600000,11.9775298978,0.4583053108,42,1,0.054975,6.54,2458000.5,0.4782238870326821,19.63484850169642,203.4662406372868,305.8591637319883,0.4635531889004665,239.6872797952229,35.82167445135119,0
24.7,68.2401509401,1289808000000,8.0051176727,0.0914677685,8,8,0.0746721,2.988,2455510.5,0.626834762585952,3.415598203014596,215.3241766842278,1734.871836421267,1.054420465005381,213.163806490417,356.5231500961467,0
27.4,19.6806745089,1082012400000,15.3466101624,0.471501025,34,2,0.00841133,5.838,2458000.5,0.07439113124586604,0.8676606783915669,186.1789980473172,394.7367353944371,0.974765730889557,288.2052119139769,184.9801338244064,0
24.0,94.1976305719,1115535600000,10.8145122385,0.1885762449,12,6,0.031809,6.737,2458000.5,0.2763376578483633,8.78381142887817,329.6513691998349,298.0718077010372,0.631952286933544,34.91155068670692,292.7772889505993,0
24.2,85.9092601232,951206400000,8.2641033841,0.0653284581,7,7,0.0267939,5.848,2458000.5,0.06951616615745691,15.82960493241258,334.1116256135565,389.0930901969714,0.9705372898590688,108.9296038878998,241.0704411713974,0
22.2,215.7943048444,1194508800000,7.6385071002,0.1305535863,18,2,0.12965,6.185,2458000.5,0.1502642347922242,13.11923057470065,53.78181622027498,350.0923018012116,0.8260506060917939,179.9071651747883,257.3888722520649,0
29.4,7.8350176433,1284534000000,20.5429458557,0.4379673747,3,5,0.000699108,5.876,2458000.5,0.2594541790014659,2.325509781157412,191.5870727010482,386.1359595767743,0.7685046203382061,276.1403670145307,245.4081644701095,0
20.4,494.3561926196,955782000000,17.5829909805,0.3770736512,22,2,0.298033,5.693,2458000.5,0.3231490747897462,25.74681061935532,71.54460309364013,396.6403939737443,0.7150867036932226,176.2300661551222,347.7603594992649,0
22.5,187.9489824394,1447574400000,5.8395019133,0.1345799211,7,5,0.113806,3.399,2458000.5,0.5264316107850345,3.685080063406259,304.6620490801712,1264.549999793633,1.083779897966827,117.1729240168404,185.7920494209425,0
15.9,3926.8108180856,1226736000000,35.2243520122,0.4543975546,106,0,0.107145,2.966,2458000.5,0.7455466327032743,21.15980068091829,242.552264584407,1414.629497859209,0.6275346695532076,63.45311185398872,108.0133376137015,0
21.2,342.0109247198,837414000000,16.336175244,0.2516498583,20,0,0.109607,5.316,2457600.5,0.1224300066361258,28.94828137810144,118.5841151778075,454.587681732057,1.015378404917204,72.06262379211482,113.3827336410694,0
23.875,99.7791910861,1458025200000,9.7953969701,0.0745477126,1,8,0.0752894,5.943,2458019.5,0.1204666412225619,16.93969616960336,177.5039591527045,376.1575097490038,0.8969464647602824,38.43249196722631,139.6137118441307,0
22.33,203.2544107219,1363935600000,17.7364128859,0.3984542211,5,5,0.177181,6.766,2458000.5,0.449608110303952,29.94727475562259,32.31141631337206,284.8260277590477,0.4662936736057474,347.6730380342346,10.23839531541616,0
26.6,28.4472296503,986713200000,18.1777063557,0.2191436862,4,7,0.0034055,4.986,2458000.5,0.4185428386006104,2.610858395041591,204.4545518750578,524.3705004526684,0.7399645944290102,258.4593965613162,217.2548101099068,0
25.5,47.2106498806,1442905200000,8.8230790849,0.0503680179,7,8,0.0167973,7.759,2457289.5,0.4535799790334885,3.351516520999924,6.174332393878114,229.5892574136689,0.400954748593998,185.013458731976,156.0949606359345,0
22.9,156.3291544087,828946800000,21.9660440228,0.4181566329,11,5,0.0352876,4.858,2458000.5,0.3767593142180362,4.747354328217402,147.5379904456377,557.1818100568966,0.8258885885563008,319.180602481366,41.9569926986899,0
21.2,342.0109247198,1123484400000,16.1532627301,0.0981124057,13,0,0.00757218,3.228,2458000.5,0.6036870749386383,16.2093792689577,323.8193222180477,1333.802496250719,0.9397960940029654,38.26504023252007,100.5938445312744,1
18.9,986.3702813054,1321948800000,15.9505222846,0.3995142402,17,2,0.127016,3.243,2458000.5,0.68852450210215,20.77107532626468,157.5563352424936,1195.308819227415,0.6865597726367515,232.7271668132684,280.2993561005476,0
21.2,342.0109247198,840697200000,22.4538896731,0.3466883774,20,1,0.0565464,7.257,2458000.5,0.4963801982710231,10.63367302909255,289.7666111107345,256.1127811955777,0.3974886034279254,194.6834126481515,274.1472954783596,0
25.5,47.2106498806,1097823600000,18.7081073452,0.3596898203,17,6,0.00277645,5.963,2458000.5,0.2334692518954883,6.610513706423017,9.802023413328852,375.4771049212962,0.7807636811968187,259.1745027880588,255.7780202888117,0
22.8,163.696720474,1374476400000,8.6935501952,0.1004043298,17,6,0.0522968,3.572,2458000.5,0.4919800517720162,8.697636812613222,132.9829070105565,1110.607878476124,1.066241661875026,182.8679992208235,123.7152107852064,0
27.9,15.6329154409,1275980400000,23.1735202353,0.4786985714,9,3,0.00229886,7.319,2458000.5,0.3642295987331517,1.598096348955278,125.4813532238678,256.0699271458094,0.5017342393887876,328.8557370843354,236.7193297653987,0
22.4,196.8067450894,1118214000000,32.842942636,0.3894814963,22,0,0.0265204,3.788,2458000.5,0.6981120519799623,2.853320402327223,190.343849456858,853.0818829169374,0.5314233548752619,309.9001337406511,106.7506764104913,0
20.2,542.0507863358,1266825600000,23.2942615396,0.3629725536,30,0,0.14527,4.123,2457800.5,0.7618686952377934,38.852493944542,170.1279460009149,637.2636117936339,0.3451148291216817,224.5069680829373,36.70660722586722,0
27.0,23.6613750114,1439017200000,11.2350272721,0.0031763595,6,7,0.000773153,2.993,2458000.5,0.6485959050261111,5.098626376240515,315.1234203769158,1667.502095784174,0.9670571178037974,331.3677486392338,168.3669382158031,0
22.2,215.7943048444,955177200000,17.3095273636,0.0549885648,15,6,0.0445389,4.646,2458000.5,0.4387852735732283,26.02365230649243,23.88673516596442,580.623783337292,0.7644105191366505,94.55029447652404,18.3682013589078,0
27.6,17.948988478,823766400000,6.6318196859,0.2806580083,13,6,0.00109712,5.857,2458000.5,0.2339628579226954,3.845270311721902,196.3089473502822,389.1378168116618,0.7990730827703767,85.90076662731873,239.455049520755,0
19.6,714.5621017269,864284400000,18.9838265929,0.4895392315,35,0,0.406718,3.673,2457800.5,0.4012957792921322,38.9971698204352,47.82086755153809,912.7326657090535,1.102492806280285,266.7702286041829,285.6172336028545,0
19.0,941.9763057186,1240383600000,22.6797166036,0.3081881662,75,1,0.202092,5.988,2458000.5,0.2831492006367385,34.83811179470096,23.53229616486233,354.8947824461515,0.7032281260622397,205.5076675637825,207.7161255914441,0
26.8,25.9441817907,1468566000000,8.8501867092,0.2262068737,3,8,0.0430601,5.283,2457418.5,0.1964564492097617,16.28720799471221,128.5293105851186,472.3519213462034,0.9537932824744294,58.26355908056268,320.4231861241817,0
21.5,297.8790627982,1229932800000,17.3148693638,0.3528111511,11,4,0.168508,3.566,2458000.5,0.5223356412637497,14.57850340549121,136.2169576841416,1078.832875377944,0.9833165171632888,258.268486713059,351.4942008112091,0
23.2,136.1570015386,1347087600000,17.1200627685,0.3721321923,9,6,0.0456029,4.864,2458000.5,0.303839640331227,5.232171578590667,64.01734201149381,562.1050241686953,0.927944461102112,355.6777478328365,57.56674280923273,0
26.5,29.7879062798,1219388400000,6.2111060298,0.4221501369,7,7,0.0218128,5.023,2458000.5,0.2054013093479347,2.196942294237011,187.9150676326761,531.6707336820732,1.02057297449709,18.00979873299237,183.7957925406161,0
18.2,1361.5700153859,1234080000000,17.0654111852,0.3769029248,49,0,0.378174,3.84,2458000.5,0.3034990210368126,33.10571092372756,149.1682039912131,876.4381485797527,1.248351713668644,302.9771999310115,230.1488367544827,0
21.6,284.4722965033,1223449200000,19.8924744763,0.4941514844,8,7,0.19623,4.541,2458000.5,0.1635133023541392,32.77100952090963,15.08509081711114,615.0820433862001,1.18399205099745,21.49247865238731,105.7432764354028,0
24.4,78.3501764334,1445497200000,9.335414645,0.1359235042,7,7,0.125437,3.848,2458000.5,0.4094251140887347,15.94988981344149,199.3225177723246,925.5006417297624,1.09764146884189,206.3717033420881,257.7697867864825,0
19.6,714.5621017269,1411369200000,15.0537301836,0.4313325615,54,0,0.00644692,5.155,2458000.5,0.4975688778293094,16.5324902390568,67.97340550446636,476.4111917897321,0.5997895369644191,258.2563697758571,108.0460460078575,1
18.3,1300.2892700427,971593200000,32.8228046528,0.4101960686,48,0,0.0938502,4.634,2458000.5,0.3472492763451782,49.90123941966606,34.01261060053654,535.4086677220515,0.8423101017550536,84.12432760940136,151.0435207972777,0
24.0,94.1976305719,1413356400000,12.9176068868,0.0832148213,9,7,0.0264789,4.285,2458000.5,0.4324546510220908,6.698385823798901,207.0315420007365,723.6907280250618,0.8953035160108122,116.7517754282844,185.0700817708187,0
23.3,130.0289270043,1442905200000,18.8100705193,0.4061540557,18,2,0.012463,5.946,2458000.5,0.2012911336705421,5.930585319232098,326.8314685044938,378.4847526925599,0.8178779127047361,279.3160873335891,24.10210151288632,0
25.5,47.2106498806,1456128000000,9.8017356459,0.0214638325,6,8,0.0206711,4.067,2457450.5,0.4744444116958503,2.165402807508139,185.935498049808,809.5346710908562,0.8933946406466334,280.5455051409348,19.79697082734978,0
23.0,149.2931834393,803199600000,4.3317191588,0.0942749026,11,5,0.0949569,4.633,2458000.5,0.2318209307064729,7.096661497807136,253.4295183007643,630.1041683088879,1.104939298815686,18.92836310165708,309.8889442894267,0
22.4,196.8067450894,1066806000000,21.16956575,0.2263629766,19,3,0.00139774,7.192,2458000.5,0.4829753605748564,10.70394092562434,24.5147908867564,260.5092329379667,0.4127252468087521,216.5665593134379,254.8541042084815,0
22.5,187.9489824394,1436943600000,7.2035499558,0.0912924515,22,5,0.0776847,3.392,2458000.5,0.525446226016918,5.075371782166132,288.1724221369884,1271.133577011309,1.089801180878397,16.67212080242719,218.7107626651404,0
18.7,1081.533506775,1183878000000,13.5985504252,0.1715628554,32,0,0.066691,3.604,2457600.5,0.5475849193051526,9.846668068525425,44.76280511943067,1047.804272723209,0.9133941630494716,193.18605241,67.99180034941104,0
22.7,171.4115092306,1295078400000,1.3210015585,0.312513113,12,7,0.304207,3.438,2458000.5,0.446048412690774,1.459931115510595,356.6837986096629,1290.629846602508,1.285111064303991,112.6024632957796,319.0023101567293,0
22.5,187.9489824394,1194508800000,18.1284607402,0.0655122255,10,8,0.041107,3.797,2454413.5,0.4590268987116017,30.62360020360375,41.92757222265845,878.3386017083066,0.9709973244753022,36.68918860603615,347.935112448785,0
19.0,941.9763057186,1007798400000,14.2652633571,0.4315079265,23,0,0.265745,3.561,2458000.5,0.4797015202674,27.93419922611771,92.67060962410336,1034.723935077569,1.041685460595105,288.6770279146171,225.6654056669329,0
26.3,32.6617897446,1254985200000,13.0510337026,0.3908434094,18,7,9.47932e-05,6.995,2458000.5,0.2868808454233409,0.01451294322958202,329.7859769942302,278.9987556491343,0.5958880299223948,19.63816192416132,141.8922783634752,0
24.1,89.9580388169,1194508800000,5.7989846383,0.0888234847,10,7,0.0661108,6.576,2458000.5,0.2192850183279404,7.069793849682513,39.07072064508974,312.8273616109144,0.7040930379810408,163.4580810195893,25.10154406104126,0
24.5,74.8238376074,1241766000000,10.9213325608,0.2044512259,10,7,0.0370423,4.58,2458000.5,0.2826193151744674,13.65596458290274,31.89070331140446,635.4205550386463,1.037667547087311,169.9097626732237,289.2843057880342,0
19.3,820.4270648822,1139385600000,0.9862237745,0.2964414164,48,0,0.294366,4.254,2458000.5,0.2465142272857833,8.473353515735807,239.4239980742768,764.9448506459277,1.233377975063941,256.6244325714712,191.1610417276388,0
26.8,25.9441817907,1363935600000,9.7038334562,0.4500461386,4,7,0.00531122,5.709,2458000.5,0.3686427832511451,6.8016937499282,257.0477969309047,403.0966540642084,0.6742417792483403,77.5200038366542,232.4939825930234,0
27.5,18.7948982439,1340348400000,18.9758810889,0.282359989,6,7,0.00772205,4.403,2458000.5,0.4446126882343782,7.828843148560988,126.0702631469118,677.3132982368361,0.8382818648618909,62.24516724818318,315.5282509892311,0
18.6,1132.5046106177,1000537200000,23.8550812822,0.4895789261,71,0,0.0656486,4.688,2458000.5,0.3351979606010909,40.48111953751505,200.5010558688319,548.4682642981471,0.871754893687076,139.0160938903936,248.6473617927698,0
28.3,13.0028927004,1194508800000,22.7204684667,0.4989218964,6,6,0.000726728,5.469,2458000.5,0.2768179656884798,2.232081968519954,54.1192972154016,443.6231046837844,0.8232368116093187,97.45169680225564,15.73856968939628,0
20.7,430.566244241,1008403200000,9.0057741702,0.4337207968,71,0,0.0498954,5.558,2458000.5,0.3063818124845617,4.576647731806468,10.52002979988988,428.1394607490399,0.7711017574031864,225.6825395879664,8.42219090768306,1
24.6,71.4562101727,1079337600000,15.4204230433,0.3458446435,7,7,0.0659485,6.635,2458000.5,0.1873200333238078,8.137156646263824,127.7337023569578,308.0415608320432,0.7254266057465935,190.34833968,228.2807273202935,0
27.6,17.948988478,1381215600000,7.2050025906,0.3659985081,17,3,0.00117025,7.542,2458000.5,0.3577761907150847,10.52425992010328,306.7263542806147,242.3690952568739,0.4885836677671865,335.8866842436203,22.85941130032448,0
26.5,29.7879062798,1455523200000,13.7896464204,0.0334761207,7,8,0.0291967,5.28,2457431.5,0.196207036823308,24.56944261714928,324.0081484463246,464.4802078199394,0.94345977929162,236.5915183959284,319.6324925523502,0
20.0,594.3468684194,1028790000000,10.6548838081,0.2174073927,33,0,0.217816,4.142,2458000.5,0.2885637928426658,19.97141594913261,125.5169404227565,785.4081271788546,1.185224462866369,219.9282306855033,347.7189935268652,0
24.9,62.2357573367,1394265600000,4.937599838,0.2233048525,8,6,0.0187586,5.781,2458000.5,0.1253407575569182,8.15864795991664,206.5499406243045,400.5667828872016,0.9301576453074484,101.397989797507,289.6466019529579,0
21.3,326.6178974458,1350284400000,11.8597421184,0.0818467604,25,1,0.0521968,6.441,2458000.5,0.3513356081129143,5.956232771136561,173.680788739367,322.118609209975,0.5965291221517233,334.057094526787,111.3375957233446,0
19.5,748.2383760735,1129964400000,17.992012251,0.2149886999,18,0,0.182551,3.234,2458000.5,0.6555293975864768,15.9816458369281,76.24556172186624,1267.077930672503,0.789384808770099,7.055257827497152,140.2459238930071,0
18.3,1300.2892700427,1071475200000,17.7306660847,0.4099552151,55,0,0.176965,6.246,2458000.5,0.566466548411884,30.1398316957397,262.9101217309696,323.1540275925956,0.3995428632227404,25.3442971340517,313.1470274522607,0
21.9,247.7650126055,1399532400000,10.8738706453,0.1983830708,26,1,0.0343382,6.056,2458000.5,0.1710431029397441,21.48659770859064,46.5079357889823,359.7129337539907,0.8205474503998145,61.82281566095128,248.5105686524586,1
23.9,98.6370281305,1403420400000,13.8649721256,0.2079819902,10,1,0.0453154,6.298,2458000.5,0.3973810059711997,11.6076647207195,195.3700872141465,333.0550192934602,0.5666582119956471,315.2418743196193,255.1877435084699,0
21.3,326.6178974458,1462690800000,5.6897397192,0.0328978835,35,2,0.0190611,7.196,2458000.5,0.2822260555873711,6.793999005109728,236.9246028895312,264.9145827084916,0.5794188879051644,173.9952836,111.2723205908555,1
25.0,59.4346868419,1440226800000,18.0772045986,0.0183314315,4,7,0.0182783,4.636,2458000.5,0.3163524521967248,31.57164434355162,148.1566337022731,583.3826499393518,0.9341192350704908,232.5300211355581,71.54933211027148,0
21.3,326.6178974458,1083999600000,21.2347626229,0.4381600742,20,0,0.0220841,3.202,2458000.5,0.7566042791455546,6.88479271209259,332.4316092404369,1198.273479399466,0.5373838606176795,284.3482900119051,12.22187241569475,1
23.6,113.2504610618,1134028800000,28.9041748722,0.3909446614,15,7,0.014922,7.365,2458000.5,0.5646552024945247,1.843315224552565,161.9306106925883,248.3705916047051,0.336641656755771,117.2056552796791,166.2594675227862,0
17.6,1794.8988477988,1079337600000,18.2839272228,0.0659081169,146,0,0.0649142,4.929,2458000.5,0.4419376339118631,24.7506013179309,169.1842069394714,517.0520597711061,0.7035688987359894,285.7540019490307,220.2695113320875,0
19.5,748.2383760735,1119423600000,20.5524739991,0.3118998044,53,0,0.0813595,5.202,2458000.5,0.3835339672019835,11.38372797667708,51.95708122997833,480.7700049280822,0.740403466954737,118.9584092065211,138.5941348453744,0
21.7,271.6689340891,869554800000,7.2801011336,0.2210595657,34,1,0.0181806,5.888,2458000.5,0.276832342773757,2.408373826125851,220.066541216687,384.0895555202742,0.747816497410525,127.3508145029687,16.60967687230428,1
21.7,271.6689340891,1216105200000,5.843494083,0.1425149704,5,7,0.135627,4.611,2458000.5,0.2479378494022843,10.53374379152336,89.8029788701269,632.5297346650788,1.084531270051238,239.4808437594485,76.43472877522984,0
24.8,65.1688382168,1418025600000,11.0660133998,0.0306251064,3,9,0.00322592,4.743,2456989.5,0.4291719290271252,6.128661309227904,251.3829091522229,579.7270520847442,0.7767037731032657,254.7123204922095,322.976241167773,0
21.5,297.8790627982,1057647600000,17.384548315,0.4385135539,13,1,0.313053,5.455,2458000.5,0.3793664784477458,25.92472031044273,176.669182927554,427.3328232665012,0.6890971372900999,187.9275111629084,2.350109069700449,0
24.9,62.2357573367,1158303600000,12.7151726,0.3347185564,21,4,0.000197428,6.112,2458000.5,0.09429728299909226,6.811667715506076,6.687277222666495,360.5258263878362,0.8978648569980182,101.6465455227111,274.642098955666,0
24.8,65.1688382168,1129964400000,8.808428696,0.2526334384,8,8,0.0354197,6.056,2454775.5,0.3479200511247572,12.38283450399265,220.3080554103107,359.6091194891068,0.645340655606581,301.4048607754086,281.738167802837,0
24.5,74.8238376074,1381820400000,10.8266966692,0.0449593783,12,7,0.0157152,5.645,2458000.5,0.402979713386451,4.341887964842829,8.729539435667014,410.5390444988166,0.6453962665900835,115.3740052464253,107.4392158849714,0
25.4,49.435619262,1456128000000,3.0047984308,0.0934024657,11,7,0.0888182,4.974,2458000.5,0.1776045311604846,5.355514011940523,340.0766126163834,543.3153583287664,1.071642047349749,159.7974717121523,20.98494513750135,0
22.4,196.8067450894,1287730800000,7.5202628197,0.2032138589,14,0,0.0179445,5.566,2458000.5,0.1073199442521597,13.27133880998655,211.4593746941593,429.4721873313424,0.994459062969663,44.61903611767051,70.26882606529705,0
26.3,32.6617897446,1456128000000,16.7946217643,0.3760990958,5,7,0.0263561,5.886,2458000.5,0.1691126353117406,2.672196004853152,128.8118688332551,387.1216206416118,0.8637236703561035,125.7025308378981,99.23700680590952,0
22.7,171.4115092306,815817600000,10.3532420903,0.209470423,11,6,0.0758499,6.573,2458000.5,0.3771015365758616,14.56422880798156,231.238900909218,307.9393202707371,0.5558979504550221,327.0394215010603,182.5608780679715,0
26.2,34.201092472,1255590000000,7.2586873404,0.0618922925,6,9,0.0617185,5.027,2455119.5,0.1711059530273139,13.28081866793259,203.9880289075458,526.4974585873535,1.057704264742046,172.9291254209186,3.479210826332828,0
19.8,651.6883821679,1403420400000,8.0453686149,0.227633614,42,0,0.104527,4.608,2458000.5,0.3523205023240839,14.34584069834662,123.3562380998592,618.9803182538711,0.920617215070598,77.21062958258037,0.7018322517057791,0
25.5,47.2106498806,1427007600000,15.331920032,0.043756475,7,8,0.0419982,4.343,2457107.5,0.3735731085892445,25.29980634060369,183.843380711742,679.865274433825,0.9478799737717124,311.4394552199445,22.75654548768991,0
26.7,27.1668934089,920880000000,15.4003065467,0.4171904829,4,4,0.00356576,6.549,2458000.5,0.3442589769598711,9.466958333592531,223.5404093118797,312.1318905900077,0.5905076087629347,306.6018940922859,258.2867009325226,0
21.6,284.4722965033,1111478400000,4.1256708068,0.2515774932,18,6,0.248396,3.426,2458000.5,0.4685485075683496,7.384237389164341,40.32280874455425,1275.487706823359,1.22325086411688,133.2892507259169,204.5422219608023,0
21.0,375.0075217981,1428476400000,21.8081015592,0.2846315717,25,7,0.0818263,4.159,2458000.5,0.3231307198696289,34.88932401133287,26.09555695857123,721.7186388448574,1.065821476216963,202.2701049207707,71.72617579164357,0
21.0,375.0075217981,961052400000,24.4341445999,0.3897432784,16,1,0.0984179,6.469,2458000.5,0.4527922930841961,8.278695740027688,114.3798292883882,315.9585012447702,0.4967905021181501,7.392326563703367,36.16756328615697,0
26.8,25.9441817907,1234080000000,9.6432687293,0.0198137359,9,8,0.0186686,3.452,2454865.5,0.553068482979383,8.00309801479518,135.5106822567995,1178.258971274131,0.9757439499581456,26.68433217480069,352.9274580560599,0
25.8,41.1187571041,801126000000,4.8238986328,0.4017865719,13,6,0.00120536,4.769,2458000.5,0.3500664333192877,0.6544971567741348,214.1302323153935,583.1012834449405,0.887767715737998,119.6465718765472,313.2636057069759,0
23.4,124.1766612574,1312786800000,15.9286418057,0.2631455013,15,0,0.051852,5.976,2458000.5,0.04785421434227258,27.72270532641191,328.9859009608685,365.6050307755489,0.9527506936239722,327.9732393908697,52.0103621850488,0
22.2,215.7943048444,947923200000,11.5534629036,0.0801334028,28,0,0.0113589,5.138,2458000.5,0.3358420223023283,2.552887928472058,252.6006177061786,499.6740356377942,0.8184590672596405,297.887130961073,279.0026291742153,0
23.7,108.1533506775,1349679600000,11.5034074783,0.0476922405,18,0,0.00226587,3.4,2458000.5,0.5726899125952296,4.389219091696349,190.0998997318445,1219.605937256194,0.9546053864600784,148.9994383084943,176.6802967449336,0
18.5,1185.8779085771,990514800000,16.7793130781,0.3531356678,36,0,0.0514994,3.782,2458000.5,0.6392071594128719,10.53794775193678,283.8580470646182,881.3182290549536,0.649053946826944,291.1495251740141,275.8585538342771,0
23.6,113.2504610618,1306047600000,11.0459958118,0.1211814965,12,7,0.00578825,5.646,2458000.5,0.4270923051737235,7.278283507077587,268.5649271820785,408.4742238686583,0.6172514824275506,73.1782507520561,169.3194610117713,0
24.3,82.0427064882,1375945200000,6.0365188185,0.163603372,10,0,0.0851549,4.304,2458000.5,0.3190981841306353,7.054596773399195,166.6183847697405,735.5825879284217,1.08585833194421,155.8881812561654,8.457263440481114,0
19.1,899.5803881691,1342335600000,11.1410408876,0.4583368441,42,0,0.214004,4.862,2458000.5,0.1493579627014401,21.26523155355708,122.4368331936925,555.777121989752,1.125334586264921,297.7298536948962,15.23187454710148,0
22.3,206.0819612321,1336460400000,5.8632846164,0.2562326943,26,3,0.0752498,5.85,2458000.5,0.2157184322093987,5.403695674733137,164.6694220022337,390.2114374413899,0.8196083739555992,217.5177071850167,208.9168948531081,0
17.1,2259.643771094,1078732800000,16.1329289851,0.4733926365,289,0,0.0480717,6.502,2458000.5,0.6328373731114443,17.05627108732804,130.2027845779737,303.0997645114537,0.324227551372772,309.1887641469194,130.4847857462841,1
23.6,113.2504610618,1255590000000,9.9403819675,0.08962569,12,7,0.0672121,6.098,2458000.5,0.3675326427022826,9.676830169742416,0.8317866310987827,355.141259983995,0.620735502567329,138.9835264813726,320.9033499172974,0
20.1,567.5968528656,1157698800000,24.5084611229,0.3962702113,17,1,0.261406,3.006,2458000.5,0.6210947265950283,27.72545259088185,155.8971637451485,1495.089364597794,0.969563965855078,260.1028627509315,235.3376889096326,0
20.8,411.1875710413,879580800000,2.0822065298,0.2626351715,10,2,0.258474,3.801,2458000.5,0.3661000063123206,4.627696294255238,282.6386814437361,996.8482773086514,1.237963493769683,134.1040740050058,89.89244049738123,0
