absolute_magnitude,est_dia_in_m_max,epoch_date_close_approach,relative_velocity_km_per_sec,miss_dist._astronomical,orbit_id,orbit_uncertainity,minimum_orbit_intersection,jupiter_tisserand_invariant,epoch_osculation,eccentricity,inclination,asc_node_longitude,orbital_period,perihelion_distance,perihelion_arg,mean_anomaly,hazardous
24.5,74.8238376074,1408690800000,7.6473387048,0.1124127834,3,9,0.11024,3.378,2456869.5,0.5271088235182829,7.926312701455433,127.4124971142047,1278.00148858667,1.089891250004882,219.6050579801181,349.2813585234171,0
18.8,1032.8564805039,1318057200000,15.9697226214,0.3062360935,34,1,0.0160302,7.06,2458000.5,0.286890658468444,1.327445308802628,92.06991506419344,274.3613582894533,0.589258429425983,71.73387784619896,212.2843195144033,1
25.0,59.4346868419,1102492800000,7.4465041315,0.3216814626,10,6,0.02216,5.778,2458000.5,0.2437539634739511,2.864332535313078,123.4403542222058,399.3072230351586,0.8025441580624997,114.427575496101,84.94920438061035,0
23.7,108.1533506775,1458025200000,6.5739032367,0.1496905538,8,7,0.123777,3.136,2458000.5,0.5774360056128317,1.643643106092121,146.4734141371684,1562.812274563508,1.113691094684232,16.90256219216007,125.3727657802488,0
21.0,375.0075217981,1458630000000,20.5732733032,0.4919578688,13,1,0.261909,4.011,2458000.5,0.3973759699775932,20.47600296124342,21.01907432268458,825.1666292181042,1.037548957500253,96.31332084633188,248.2439441301118,0
17.8,1636.96720474,987318000000,15.1668934371,0.4955373018,58,0,0.126462,4.992,2458000.5,0.693052275559326,12.6295384519669,290.5683790572897,483.7347994085201,0.3701721042053644,201.5142518817539,154.6535828765421,0
19.3,820.4270648822,910512000000,11.0658723116,0.2418663337,117,0,0.00132059,5.308,2458000.5,0.1902842554038815,5.883903317829792,251.5911063365942,473.8907826636587,0.96320591417408,211.4467739786354,154.0217068187274,1
22.0,236.6137501138,958978800000,22.1465895506,0.3601948404,17,7,0.0589302,5.364,2458000.5,0.30977234666475,20.01862819566331,268.0963340337385,450.5844479129489,0.7939214495671685,70.135953631271,318.6663283583578,0
18.2,1361.5700153859,1097218800000,12.76674276,0.2794024819,84,0,0.264276,3.521,2458000.5,0.4535700855592222,19.97813110930718,216.552501843222,1130.16536230208,1.160281882252777,124.9630957141017,70.46728355236081,0
16.8,2594.4181790745,1098428400000,15.8112781089,0.3835377648,104,0,0.330655,3.058,2458000.5,0.535090737095207,30.28596652706441,194.893525160316,1492.628624227286,1.188330083754361,234.4493274974534,39.96921773705073,0
